8887_281471_000000_000000	CHAPTER XIV.	CHAPTER fourteen.	true	22.725	24.22	26.684412
8887_281471_000014_000004	He was sorry now that he had ever spent his time teaching the Texan to pitch, and it occurred to him that the same amount of coaching and encouragement bestowed upon Hooker would not have resulted in the training of a man to outdo him upon the slab and push him into the background.	He was sorry now that he had ever spent his time teaching the Texan to pitch, and it occurred to him that the same amount of coaching and encouragement bestowed upon Hooker would not have resulted in the training of a man to outdo him upon the slab and push him into the background.	true	240.62	257.23	22.52662
8887_281471_000015_000000	That evening he was missing from the group of boys who gathered in the village to talk over the game, and at school the following Monday he kept away from Grant as much as it was possible for him to do so.	That evening he was missing from the group of boys who gathered in the village to talk over the game, and at school the following Monday he kept away from Grant as much as it was possible for him to do so.	false	258.38	268.9	21
8887_281471_000015_000001	When practice time came after school was over, he put on his suit and appeared upon the field, but soon complained that he was not feeling well, and departed.	When practice time came after school was over, he put on his suit and appeared upon the field, but soon complained that he was not feeling well, and departed.	true	269.36	279.37	21.447308
8887_281471_000016_000000	The following morning, shortly after breakfast, Phil saw Rod turning into the dooryard of his home.	The following morning, shortly after breakfast, Phil saw Rod turning into the dooryard of his home.	true	279.68	286.12	19.018719
8887_281471_000016_000001	Instantly Springer sought his hat, slipped hastily through the house and got out, unperceived, by the back door.	Instantly Springer sought his hat, slipped hastily through the house and got out, unperceived, by the back door.	false	286.19	293.35	24.181526
8887_281471_000016_000002	When he arrived at school, a few minutes before time for the morning session to begin, Grant was waiting for him.	When he arrived at school, a few minutes before time for the morning session to begin, Grant was waiting for him.	true	294.23	300.97	23.178112
8887_281471_000017_000000	"What became of you after breakfast, partner?" questioned Rod.	"What became of you after breakfast, partner?" questioned Rod.	true	301.64	305.47	29.247166
8887_281471_000017_000001	"I piked over to your ranch looking for you, but you had disappeared. Your mother said you were around a few moments before, and she thought you must be somewhere about; all the same, I couldn't find hide or hair of you."	"I piked over to your ranch looking for you, but you had disappeared. Your mother said you were around a few moments before, and she thought you must be somewhere about; all the same, I couldn't find hide or hair of you."	true	305.81	318.55	22.23505
8887_281471_000018_000000	"I--I took a walk," faltered Phil, flushing.	"I-I took a walk," faltered Phil, flushing.	true	319.34	323.32	24.850191
8887_281471_000018_000001	"I've got a bub-bad cold." In evidence of which, he coughed in a shamefully unnatural manner.	"I've got a bub bad cold." In evidence of which, he coughed in a shamefully unnatural manner.	true	323.75	331.18	19.731369
8887_281471_000019_000000	"Got a cold, eh?" said Rodney sympathetically.	"Got a cold, eh?" said Rodney sympathetically.	true	332.06	335.65	21.509823
8887_281471_000019_000001	"You caught it sitting on the bench during the last four innings of that game, I reckon.	"You caught it sitting on the bench during the last four innings of that game, I reckon.	true	336.26	340.39	21.303162
8887_281471_000019_000002	I remember now that you didn't even put on your sweater."	I remember now that you didn't even put on your sweater."	true	340.79	343.54	20.28432
8887_281471_000020_000000	"Yes, I guess that's when I got it," agreed Phil.	"Yes, I guess that's when I got it," agreed Phil.	true	344.42	347.74	25.542782
8887_281471_000021_000000	"Well, you've got to shake it in time for the game with Clearport. That's when you'll even things up."	"Well, you've got to shake it in time for the game with Clearport. That's when you'll even things up."	true	348.74	354.04	28.639864
8887_281471_000022_000000	All that day Springer sought to avoid talking baseball with any of the fellows, for invariably they spoke of Grant's surprisingly successful performance; and when they did so something like a sickening poison seemed to bubble within the jealous youth, who told himself that he could not long continue to join in this praise, but must soon betray himself by bursting forth into a tirade against the Texan.	All that day Springer sought to avoid talking baseball with any of the fellows, for invariably they spoke of Grant's surprisingly successful performance; and when they did so something like a sickening poison seemed to bubble within the jealous youth, who told himself that he could not long continue to join in this praise, but must soon betray himself by bursting forth into a tirade against the Texan.	true	354.47	379.57	21.774124
8887_281471_000022_000001	In a measure he did relieve his feelings by expressing his opinion of Herbert Rackliff, who was brazenly seeking to ignore the open disdain of his schoolmates.	In a measure he did relieve his feelings by expressing his opinion of Herbert Rackliff, who was brazenly seeking to ignore the open disdain of his schoolmates.	true	380.39	389.86	20.361885
8887_281471_000022_000002	He did not come out for practice that night, and Grant explained to the others that Phil was knocked out by a cold, whereupon Cooper chucklingly remarked that he thought it was Barville that had knocked Springer out.	He did not come out for practice that night, and Grant explained to the others that Phil was knocked out by a cold, whereupon Cooper chucklingly remarked that he thought it was Barville that had knocked Springer out.	true	391.04	403.09	24.733086
8887_281471_000023_000000	Shortly before dark, Phil, chancing to take a cross cut from Middle Street to High Street, observed Roy Hooker pelting away with a baseball at the white shingle on the barn.	Shortly before dark, Phil, chancing to take a cross cut from Middle Street to High Street, observed Roy Hooker pelting away with a baseball at the white shingle on the barn.	true	403.97	414.82	22.628803
8887_281471_000023_000001	Drawing near, Phil asked Roy what he was doing, and the latter, startled and perspiring, looked round.	Drawing near, Phil asked Roy what he was doing, and the latter, startled and perspiring, looked round.	true	415.25	421.93	22.247694
8887_281471_000024_000000	"Oh, is it you?" said Roy.	"Oh, is it you?" said Roy.	true	422.96	425.59	26.741983
8887_281471_000024_000001	"I thought perhaps it was Rackliff.	"I thought perhaps it was Rackliff.	true	425.96	428.08	27.465406
8887_281471_000024_000002	I'm practicing a little by my lonesome."	I'm practicing a little by my lonesome."	true	428.15	430.51	21.05481
8887_281471_000025_000000	"That's a hard way to practice," said Springer.	"That's a hard way to practice," said Springer.	true	431.33	434.11	24.866055
8887_281471_000025_000001	"You can't get much good out of that."	"You can't get much good out of that."	true	434.45	436.45	24.069551
8887_281471_000026_000000	"Oh, I don't know.	"Oh, I don't know.	true	437.15	438.52	21.10246
8887_281471_000026_000001	I'm getting so I can hit that shingle once in a while, and use a curve, too.	I'm getting so I can hit that shingle once in a while, and use a curve, too.	true	438.83	443.38	22.815521
8887_281471_000026_000002	I couldn't seem to hit it with a straight ball when I began."	I couldn't seem to hit it with a straight ball when I began."	true	443.72	446.68	22.812504
8887_281471_000027_000000	"You haven't given up the idea of pitching?"	"You haven't given up the idea of pitching?"	true	447.44	449.71	25.310724
8887_281471_000028_000000	"Not quite.	"Not quite.	true	450.68	451.9	33.621784
8887_281471_000028_000001	After watching your performance Saturday--seeing you soak a batter in the ribs, and then hand out free passes enough to force a run--I came to realize what control means.	After watching your performance Saturday-seeing you soak a batter in the ribs, and then hand out free passes enough to force a run-I came to realize what control means.	true	452.06	462.3	20.863058
8887_281471_000028_000002	I'm trying to get it."	I'm trying to get it."	true	462.3	463.54	24.432236
8887_281471_000029_000000	Phil felt his face burn.	Phil felt his face burn.	true	464.27	466.54	22.423824
8887_281471_000029_000001	"Control is necessary," he admitted; "but it isn't everything.	"Control is necessary," he admitted; "but it isn't everything.	true	467.06	471.79	20.828691
8887_281471_000029_000002	When I put the ball over, they pup-pounded it."	When I put the ball over, they pup pounded it."	true	472.22	474.82	24.781906
8887_281471_000030_000000	"But they wouldn't if it hadn't been for----" Choking, as he realized what he had so nearly said, Hooker bit his tongue.	"But they wouldn't if it hadn't been for----" Choking, as he realized what he had so nearly said, Hooker bit his tongue.	true	475.85	483.64	21.948109
8887_281471_000030_000001	Then he hastened to make an observation that snapped Springer's self-restraint.	Then he hastened to make an observation that snapped Springer's self restraint.	true	484.01	488.53	23.356937
8887_281471_000030_000002	"They didn't seem to pound Grant much, and he appeared able to put the ball just about where he wanted to."	"They didn't seem to pound Grant much, and he appeared able to put the ball just about where he wanted to."	true	489.23	494.5	23.940752
8887_281471_000031_000000	"Grant!" snarled Phil furiously.	"Grant!" snarled Phil furiously.	true	494.96	497.86	27.68625
8887_281471_000031_000001	"That's all I've heard since the game!	"That's all I've heard since the game!	true	497.93	500.055	19.602205
8887_281471_000031_000002	Grant, Grant, Grant!	Grant, Grant, Grant!	true	500.055	501.645	31.78037
8887_281471_000031_000003	It makes me tired!"	It makes me tired!"	true	501.645	502.95	24.587526
8887_281471_000032_000000	"Oh, ho!" muttered Roy.	"Oh, ho!" muttered Roy.	false	502.95	505.755	20.440496
8887_281471_000032_000001	"It does, does it?	"It does, does it?	true	505.755	507.13	23.71273
8887_281471_000032_000002	Well, say, didn't you realize what you were doing while you were coaching that fellow?	Well, say, didn't you realize what you were doing while you were coaching that fellow?	true	507.59	511.96	21.545044
8887_281471_000032_000003	I knew what would happen.	I knew what would happen.	true	512.27	513.84	25.766428
8887_281471_000032_000004	I knew the time would come when you'd be mighty sore with yourself.	I knew the time would come when you'd be mighty sore with yourself.	true	513.84	517.45	20.487246
8887_281471_000032_000005	I'm going to talk plain to you.	I'm going to talk plain to you.	true	517.73	519.52	25.895615
8887_281471_000032_000006	This fellow Grant is practically an outsider; he doesn't belong in Oakdale. He's a presuming cub, too--always pushing himself forward.	This fellow Grant is practically an outsider; he doesn't belong in Oakdale. He's a presuming cub, too-always pushing himself forward.	true	519.56	528.85	24.109694
8887_281471_000032_000007	Here I am, an Oakdale boy, but you pick up with Rod Grant and coach him to pitch so he can step into a game when you're batted out and show you up.	Here I am, an Oakdale boy, but you pick up with Rod Grant and coach him to pitch so he can step into a game when you're batted out and show you up.	false	529.28	537.61	24
8887_281471_000032_000008	You won't be in it hereafter; he'll be the whole show."	You won't be in it hereafter; he'll be the whole show."	true	538.1	541.36	21.6523
8887_281471_000033_000000	"Oh, I don't know," returned Springer sourly.	"Oh, I don't know," returned Springer sourly.	false	542.3	545.98	21.214703
8887_281471_000033_000001	"He may get his some time."	"He may get his some time."	true	546.26	548.41	20.566967
8887_281471_000034_000000	"He may, and then again he may not; you can't be sure of it.	"He may, and then again he may not; you can't be sure of it.	true	549.5	553.12	25.35462
8887_281471_000034_000001	If you'd only spent your time with me, I would have been willing to act as second string pitcher, and you would not have been crowded out.	If you'd only spent your time with me, I would have been willing to act as second string pitcher, and you would not have been crowded out.	true	553.31	560.26	24.562147
8887_281471_000034_000002	You put your foot in it, all right, old man."	You put your foot in it, all right, old man."	true	560.6	563.35	24.978119
8887_281471_000035_000000	"I suppose I did.	"I suppose I did.	true	564.47	565.995	21.312191
8887_281471_000035_000001	But let's not talk about it.	But let's not talk about it.	true	565.995	567.75	27.002695
8887_281471_000035_000002	You weren't at school to-day."	You weren't at school to day."	true	567.75	569.13	25.723265
8887_281471_000036_000000	"No."	"no"	false	569.13	571.38	21.859255
8887_281471_000037_000000	"How did that happen?"	"How did that happen?"	true	571.38	572.56	31.048841
8887_281471_000038_000000	"Working."	"Working."	true	572.87	573.82	34.559917
8887_281471_000039_000000	"Working?	"Working?	true	574.28	575.055	32.343212
8887_281471_000039_000001	How careless!	How careless!	true	575.055	576.16	24.438385
8887_281471_000039_000002	I didn't know you ever did such a thing."	I didn't know you ever did such a thing."	true	576.2	578.41	20.170706
8887_281471_000040_000000	"Well," said Roy slowly, "this was a case of necessity, you see."	"Well," said Roy slowly, "this was a case of necessity, you see."	true	579.53	584.83	20.257767
8887_281471_000041_000000	"Oh, you needed the money, eh?"	"Oh, you needed the money, eh?"	true	585.38	587.04	17.484861
8887_281471_000042_000000	"No; it wasn't that, though I earned a dollar and a quarter helping shingle John Holbrook's barn.	"No; it wasn't that, though I earned a dollar and a quarter helping shingle john Holbrook's barn.	false	587.04	593.92	20.500345
8887_281471_000042_000001	You see--my mother, she--she lost some money recently."	You see-my mother, she-she lost some money recently."	true	594.41	598.48	19.841911
8887_281471_000043_000000	"Lost it?"	"Lost it?"	true	598.91	600.01	21.851233
8887_281471_000044_000000	"Yes; lost it, or--or something," Roy replied stumblingly.	"Yes; lost it, or-or something," Roy replied stumblingly.	true	600.77	605.47	22.502178
8887_281471_000044_000001	"It wasn't much, but it was all she had.	"It wasn't much, but it was all she had.	true	606.08	608.58	21.269535
8887_281471_000044_000002	She'd saved up a little at a time to buy material for a new dress."	She'd saved up a little at a time to buy material for a new dress."	true	608.58	612.34	22
8887_281471_000045_000000	"How did she happen to lul-lose it?"	"How did she happen to lul lose it?"	true	613.22	615.4	24.134861
8887_281471_000046_000000	"I can't tell.	"I can't tell.	true	616.13	617.38	26.430931
8887_281471_000046_000001	She doesn't quite know herself.	She doesn't quite know herself.	true	617.54	619.6	22.994593
8887_281471_000046_000002	She put it in a drawer in the house, and when she went to look for it, it was gone."	She put it in a drawer in the house, and when she went to look for it, it was gone."	false	619.61	623.8	20.308304
8887_281471_000047_000000	"That sounds like a robbery instead of a loss."	"That sounds like a robbery instead of a loss."	true	624.65	627.34	20.866804
8887_281471_000048_000000	"But it couldn't be a robbery," protested Hooker quickly and earnestly. "Nobody would come into the house and take money out of that drawer--nobody around here.	"But it couldn't be a robbery," protested Hooker quickly and earnestly. "Nobody would come into the house and take money out of that drawer-nobody around here.	true	628.16	637.3	21.739561
8887_281471_000048_000001	You never hear of such a thing happening around this town.	You never hear of such a thing happening around this town.	true	637.76	640.81	21.223772
8887_281471_000048_000002	Perhaps mother mislaid it somewhere.	Perhaps mother mislaid it somewhere.	true	640.88	643.03	20.241674
8887_281471_000048_000003	Anyhow, it's gone, and I'm going to try to earn enough to replace it."	Anyhow, it's gone, and I'm going to try to earn enough to replace it."	true	643.64	647.92	24.37585
8887_281471_000049_000000	"Well, say, Hooker," exclaimed Phil, "you're all right!	"Well, say, Hooker," exclaimed Phil, "you're all right!	true	648.8	652.72	23.368015
8887_281471_000049_000001	I didn't suppose you'd stoop to work, even under such circumstances.	I didn't suppose you'd stoop to work, even under such circumstances.	true	653.24	657.31	23.48854
8887_281471_000049_000002	Do you know, lots of times we're liable to misjudge some one until something happens to show us just the sort of a person he is."	Do you know, lots of times we're liable to misjudge some one until something happens to show us just the sort of a person he is."	true	657.68	664.72	21
8887_281471_000050_000000	"Yes; I suppose that's right," said Roy.	"Yes; I suppose that's right," said Roy.	true	665.54	668.59	23.298344
8887_281471_000050_000001	But he did not look Phil in the eyes.	But he did not look Phil in the eyes.	true	668.72	670.95	21.107666
8887_281471_000051_000000	CHAPTER XV.	CHAPTER fifteen.	false	670.95	671.28	-20
8887_281471_000052_000000	PLAIN TALK FROM ELIOT.	PLAIN TALK FROM ELIOT.	false	671.28	671.94	-20
8887_281471_000053_000000	"How's your cold, Phil?"	"How's your cold, Phil?"	false	671.94	672.63	-20
8887_281471_000054_000000	It was Eliot who asked the question, and Springer, pausing with one foot on the academy steps, replied:	It was Eliot who asked the question, and Springer, pausing with one foot on the academy steps, replied:	false	672.63	675.24	25.075876
8887_281471_000055_000000	"Oh, it's some bub-better, I think."	"Oh, it's some bub better, I think."	false	675.24	675.96	29.724321
8887_281471_000056_000000	"Glad to hear it," said Roger, slipping his arm through Springer's. "Come on, let's walk over yonder to the fence.	"Glad to hear it," said Roger, slipping his arm through Springer's. "Come on, let's walk over yonder to the fence.	false	675.96	678.03	-20
8887_281471_000056_000001	I want to have a little chin with you.	I want to have a little chin with you.	false	678.03	678.96	-20
8887_281471_000056_000002	It will be ten minutes yet before school begins."	It will be ten minutes yet before school begins."	false	678.96	679.92	-20
