8887_281472_000000_000000	"Well, say, Hooker," exclaimed Phil, "you're all right!	"Well, say, Hooker," exclaimed Phil, "you're all right!	false	0	3.27	26.860727
8887_281472_000012_000000	"The baby!" exclaimed Springer resentfully.	"The baby!" exclaimed Springer resentfully.	true	114.95	118.24	22.900803
8887_281472_000013_000000	"Yes; that's just what you've been doing.	"Yes; that's just what you've been doing.	true	118.79	121.27	20.1897
8887_281472_000013_000001	I made up my mind to speak plainly to you, and I'm going to do so--for your own good.	I made up my mind to speak plainly to you, and I'm going to do so-for your own good.	true	121.64	126.73	23.654589
8887_281472_000013_000002	You've been sulking, old fellow.	You've been sulking, old fellow.	true	127.1	129.375	27.572458
8887_281472_000013_000003	It doesn't pay, Phil; you're hurting yourself far more than any one else."	It doesn't pay, Phil; you're hurting yourself far more than any one else."	true	129.375	134.05	22.617628
8887_281472_000014_000000	"I don't think you've got any right to call it sulking," objected Springer in a low tone.	"I don't think you've got any right to call it sulking," objected Springer in a low tone.	true	135.35	141.25	25.679699
8887_281472_000014_000001	"I own up that I did feel bad about the way things went in that gug-game; but I caught a cold, and I decided to take care of myself in order to get back into my best condition."	"I own up that I did feel bad about the way things went in that gug game; but I caught a cold, and I decided to take care of myself in order to get back into my best condition."	false	141.74	152.71	22.5909
8887_281472_000015_000000	"Is that the reason why you've been giving Rod Grant the cold shoulder?"	"Is that the reason why you've been giving Rod Grant the cold shoulder?"	true	153.83	157.66	20.062445
8887_281472_000016_000000	"I haven't been giving him---- What has he said to you, Eliot?	"I haven't been giving him---- What has he said to you, Eliot?	true	158.57	162.25	20.57147
8887_281472_000016_000001	Has he been tut-tut-talking about me?"	Has he been tut tut talking about me?"	false	162.5	165.28	25.78971
8887_281472_000017_000000	"Not a word."	"Not a word."	true	166.01	167.2	23.509249
8887_281472_000018_000000	"Then why should you say I'd given him the cold shoulder?"	"Then why should you say I'd given him the cold shoulder?"	false	167.81	170.74	19.245462
8887_281472_000019_000000	"It was apparent to the dullest, Phil.	"It was apparent to the dullest, Phil.	true	171.47	173.92	24.163088
8887_281472_000019_000001	For some time before that game you and Grant were very chummy; you were nearly always together, so that everybody noticed it.	For some time before that game you and Grant were very chummy; you were nearly always together, so that everybody noticed it.	true	174.35	181.57	21.2601
8887_281472_000019_000002	Since the game you've not been together at all, and I, myself, have plainly observed your efforts to avoid him. Now, old man, there can only be one explanation for such conduct: you're sore--sore because he succeeded in holding Barville down after you had failed."	Since the game you've not been together at all, and I, myself, have plainly observed your efforts to avoid him. Now, old man, there can only be one explanation for such conduct: you're sore-sore because he succeeded in holding Barville down after you had failed."	false	182.03	198.37	20.979286
8887_281472_000020_000000	Weakly Springer sought to protest against this, but stopped in the midst of it, fully comprehending how feeble his words were.	Weakly Springer sought to protest against this, but stopped in the midst of it, fully comprehending how feeble his words were.	true	199.37	207.55	24.758991
8887_281472_000021_000000	"It's folly, Springer," said Eliot, "sheer childish folly.	"It's folly, Springer," said Eliot, "sheer childish folly.	true	208.1	212.92	20.18809
8887_281472_000021_000001	We were all sorry to see you get your bumps and lose control, and I don't believe any one was any sorrier than Grant himself; for, somehow, I've come firmly to believe that he's on the square.	We were all sorry to see you get your bumps and lose control, and I don't believe any one was any sorrier than Grant himself; for, somehow, I've come firmly to believe that he's on the square.	true	213.23	225.1	21.765543
8887_281472_000021_000002	He was reluctant about going on to the slab when I called him."	He was reluctant about going on to the slab when I called him."	true	225.32	228.88	21.459599
8887_281472_000022_000000	"Perhaps that was because he was afraid he'd get his, too," muttered Springer.	"Perhaps that was because he was afraid he'd get his, too," muttered Springer.	true	229.82	234.49	21.83258
8887_281472_000023_000000	"Now, that isn't generous, and you know it.	"Now, that isn't generous, and you know it.	true	235.16	237.61	20.186014
8887_281472_000023_000001	If the score had been heavy against us at the time, some fellows might have fancied Grant's reluctance was prompted by fear and a disinclination to shoulder another man's load in the first game he pitched.	If the score had been heavy against us at the time, some fellows might have fancied Grant's reluctance was prompted by fear and a disinclination to shoulder another man's load in the first game he pitched.	true	237.89	248.77	21.874037
8887_281472_000023_000002	I've not sized it up as anything of the sort.	I've not sized it up as anything of the sort.	true	249.14	251.8	24.790413
8887_281472_000023_000003	You and he were close friends, and, knowing how you must feel to be batted out, he was loath to go in.	You and he were close friends, and, knowing how you must feel to be batted out, he was loath to go in.	true	252.29	258.07	22.644129
8887_281472_000023_000004	You must realize it was a mighty lucky thing for us that we had a pitcher to take your place.	You must realize it was a mighty lucky thing for us that we had a pitcher to take your place.	true	258.65	264.585	23.971764
8887_281472_000023_000005	Barville had you going, Phil, and you couldn't seem to steady down.	Barville had you going, Phil, and you couldn't seem to steady down.	true	264.585	268.42	21.111837
8887_281472_000023_000006	Even old stagers get into that condition sometimes when pitching, and it's not an infrequent occurrence that a slabman who is not thought so good steps in and stops the slaughter."	Even old stagers get into that condition sometimes when pitching, and it's not an infrequent occurrence that a slabman who is not thought so good steps in and stops the slaughter."	true	268.7	279.49	21.354897
8887_281472_000024_000000	"Every-bub-body seems to think Grant is pretty good," mumbled Springer.	"Every bub body seems to think Grant is pretty good," mumbled Springer.	true	280.94	285.49	21.408184
8887_281472_000025_000000	"He certainly did amazingly well, for which he generously gave you all the credit."	"He certainly did amazingly well, for which he generously gave you all the credit."	true	286.28	291.04	20.164345
8887_281472_000026_000000	"I suppose he'll be the whole shooting match, now."	"I suppose he'll be the whole shooting match, now."	true	291.65	294.58	22.030043
8887_281472_000027_000000	"Those words betray you, my boy.	"Those words betray you, my boy.	true	295.49	297.76	20.797653
8887_281472_000027_000001	You've been trapped by the green-eyed monster.	You've been trapped by the green eyed monster.	true	297.95	300.55	20.885294
8887_281472_000027_000002	Come, come, Phil, you're too manly for that." He put out a hand and rested it on Springer's shoulder.	Come, come, Phil, you're too manly for that." He put out a hand and rested it on Springer's shoulder.	false	300.59	307.33	24.319645
8887_281472_000028_000000	The color mounted into Phil's cheeks and slowly receded, leaving him pale, and still with downcast eyes.	The color mounted into Phil's cheeks and slowly receded, leaving him pale, and still with downcast eyes.	true	308.21	315.94	24.44077
8887_281472_000028_000001	Eliot went on, steadily and earnestly:	Eliot went on, steadily and earnestly:	true	316.34	319.24	22.12116
8887_281472_000029_000000	"We need two pitchers--we must have them if we hope to make a decent showing in the series.	"We need two pitchers-we must have them if we hope to make a decent showing in the series.	true	319.7	324.94	22.348858
8887_281472_000029_000001	By and by we'll have to play two games a week, and some of those games come so close together that one pitcher alone, unless he has an arm of iron, can't do all the flinging.	By and by we'll have to play two games a week, and some of those games come so close together that one pitcher alone, unless he has an arm of iron, can't do all the flinging.	true	325.4	335.56	21.772228
8887_281472_000029_000002	You've been wonderfully successful in coaching Grant, and all the time you were training him to relieve you in a measure when the hardest work should come.	You've been wonderfully successful in coaching Grant, and all the time you were training him to relieve you in a measure when the hardest work should come.	true	336.14	344.32	21.734533
8887_281472_000029_000003	Nobody wants to rob you of any credit; every one says you've done a mighty good turn with him.	Nobody wants to rob you of any credit; every one says you've done a mighty good turn with him.	true	344.78	350.26	19.362555
8887_281472_000029_000004	But if you continue to sulk, as you have for the past few days, you'll lose the sympathy of your teammates; but you won't hurt Grant--otherwise than his feelings."	But if you continue to sulk, as you have for the past few days, you'll lose the sympathy of your teammates; but you won't hurt Grant-otherwise than his feelings."	true	350.57	360.49	23.619244
8887_281472_000030_000000	"I don't believe it would hurt his feelings a great deal."	"I don't believe it would hurt his feelings a great deal."	true	361.4	364.69	20.175358
8887_281472_000031_000000	Roger was vexed, but he continued to maintain his calm manner.	Roger was vexed, but he continued to maintain his calm manner.	true	365.9	370.36	21.035816
8887_281472_000031_000001	"You ought to know him better than any one else around here; you ought to know whether he's at all sensitive or not.	"You ought to know him better than any one else around here; you ought to know whether he's at all sensitive or not.	true	370.94	376.63	20.79864
8887_281472_000031_000002	I'll tell you honestly, if I were in his place to-day, I'd feel it.	I'll tell you honestly, if I were in his place to day, I'd feel it.	true	377.09	381.37	21.676506
8887_281472_000031_000003	Now, I'm your friend, old fellow, and I want you to listen to me and take my advice.	Now, I'm your friend, old fellow, and I want you to listen to me and take my advice.	true	381.95	386.77	22.948769
8887_281472_000031_000004	Forget it. Get out for practice, treat Grant the same as before, and make up your mind you'll do your level best to redeem yourself in the next game you pitch.	Forget it. Get out for practice, treat Grant the same as before, and make up your mind you'll do your level best to redeem yourself in the next game you pitch.	false	387.23	397.89	22.888842
8887_281472_000031_000005	You'll have plenty of chances to show the stuff you're made of."	You'll have plenty of chances to show the stuff you're made of."	true	397.89	401.05	22.338078
8887_281472_000032_000000	"I don't suppose the fellows have much confidence in me now."	"I don't suppose the fellows have much confidence in me now."	true	402.2	405.79	23.015547
8887_281472_000033_000000	"Nonsense!	"Nonsense!	true	406.43	407.62	19.70945
8887_281472_000033_000001	Unless they're chumps, they know every pitcher has his off days.	Unless they're chumps, they know every pitcher has his off days.	true	407.63	411.97	25.905447
8887_281472_000033_000002	There'll be a practice game to-night; we'll play against a picked up scrub team.	There'll be a practice game to night; we'll play against a picked up scrub team.	true	412.07	416.77	28.500507
8887_281472_000033_000003	Now, I want to see you at the field in a suit and ready to do your part."	Now, I want to see you at the field in a suit and ready to do your part."	true	416.87	420.97	25.157763
8887_281472_000034_000000	"All right," agreed Phil.	"All right," agreed Phil.	true	421.43	423.73	30.939653
8887_281472_000035_000000	But later, conscience-stricken and ashamed, he could not bring himself to seek Rodney Grant and own up manfully to his silly behavior.	But later, conscience stricken and ashamed, he could not bring himself to seek Rodney Grant and own up manfully to his silly behavior.	false	425.06	434.565	21.906532
8887_281472_000035_000001	And Grant, having begun to feel piqued, made no further advances.	And Grant, having begun to feel piqued, made no further advances.	true	434.565	439.3	21.404829
8887_281472_000036_000000	At noon that day Roy Hooker returned to school, bringing a written excuse from his mother.	At noon that day Roy Hooker returned to school, bringing a written excuse from his mother.	true	440.36	446.11	24.363325
8887_281472_000036_000001	Having a chance to speak privately with Springer, he said:	Having a chance to speak privately with Springer, he said:	true	446.6	450.07	23.829113
8887_281472_000037_000000	"I hear Eliot has expressed his estimation of you and Rod Grant."	"I hear Eliot has expressed his estimation of you and Rod Grant."	true	450.5	454.72	21.671238
8887_281472_000038_000000	Phil started.	Phil started.	true	455	456.31	21.033096
8887_281472_000038_000001	"You can near lots of things," he retorted sharply.	"You can near lots of things," he retorted sharply.	false	456.47	459.76	31.05223
8887_281472_000039_000000	"The fellows have been talking about it," returned Roy.	"The fellows have been talking about it," returned Roy.	false	460.55	463.87	24.098656
8887_281472_000039_000001	"They say Eliot has said Grant will make a better pitcher than you, because you lack heart."	"They say Eliot has said Grant will make a better pitcher than you, because you lack heart."	true	464.09	468.88	24.372932
8887_281472_000040_000000	It was a blow below the belt, and, in spite of himself, Phil could not help showing the effect.	It was a blow below the belt, and, in spite of himself, Phil could not help showing the effect.	true	469.16	475.51	22.26533
8887_281472_000041_000000	"He's welcome to th-think what he chooses," he exclaimed hotly; "it doesn't disturb me."	"He's welcome to t h think what he chooses," he exclaimed hotly; "it doesn't disturb me."	false	476.3	482.35	23.942875
8887_281472_000042_000000	Nevertheless, he was so much disturbed that, in spite of his promise to Roger, he was not with the team when it took the field that night for the practice game.	Nevertheless, he was so much disturbed that, in spite of his promise to Roger, he was not with the team when it took the field that night for the practice game.	true	483.47	492.82	23.964556
8887_281472_000042_000001	For he himself had vainly sought to put aside the depressing and unnerving conviction that in steadiness, stamina and self-confidence, Rodney Grant was his superior; something he had determined never to breathe to any one else, but which the keen judgment of the team captain had found out.	For he himself had vainly sought to put aside the depressing and unnerving conviction that in steadiness, stamina and self confidence, Rodney Grant was his superior; something he had determined never to breathe to any one else, but which the keen judgment of the team captain had found out.	true	493.19	511.78	21.113352
8887_281472_000043_000000	Nevertheless, when he reached home by a roundabout course, and found it impossible to dismiss thoughts of the boys engaged in that practice game, he eventually decided that he was a fool.	Nevertheless, when he reached home by a roundabout course, and found it impossible to dismiss thoughts of the boys engaged in that practice game, he eventually decided that he was a fool.	true	512.57	523.9	20.17828
8887_281472_000043_000001	Having reached this conclusion, he set off in great haste for the gymnasium, running the greater part of the distance.	Having reached this conclusion, he set off in great haste for the gymnasium, running the greater part of the distance.	false	524.3	531.19	22.780785
8887_281472_000044_000000	Drawing near the gym, he could hear the boys engaged in the game beyond the high board fence.	Drawing near the gym, he could hear the boys engaged in the game beyond the high board fence.	true	531.86	537.22	18.429544
8887_281472_000044_000001	It did not take him long to shed his outer clothes and get into a baseball suit.	It did not take him long to shed his outer clothes and get into a baseball suit.	true	537.62	542.74	23.007359
8887_281472_000045_000000	The game was in the second inning, with the regular team at bat and Hooker pitching for the scrub, which was made up partly of grammar school boys.	The game was in the second inning, with the regular team at bat and Hooker pitching for the scrub, which was made up partly of grammar school boys.	true	543.05	551.95	23.607136
8887_281472_000045_000001	Everybody seemed to be watching Roy, and Phil walked on to the field and toward one of the benches without attracting attention.	Everybody seemed to be watching Roy, and Phil walked on to the field and toward one of the benches without attracting attention.	true	552.32	559.57	20.850788
8887_281472_000046_000000	"Look at Hook!" whooped Chipper Cooper.	"Look at Hook!" whooped Chipper Cooper.	true	560.42	563.08	37.272312
8887_281472_000046_000001	"He's actually trying to strike Roger out!"	"He's actually trying to strike Roger out!"	true	563.3	565.69	30.417679
8887_281472_000047_000000	Eliot was at bat, and the umpire had just called the second strike on him.	Eliot was at bat, and the umpire had just called the second strike on him.	true	566.75	571.33	24.744478
8887_281472_000047_000001	There were no runners on the sacks.	There were no runners on the sacks.	true	571.34	573.4	21.783125
8887_281472_000048_000000	"He struck aout Tut in t'other innin'," drawled Sile Crane.	"He struck aout Tut in t'other innin'," drawled Sile Crane.	false	574.13	578.35	23.716297
8887_281472_000048_000001	"I guess that's got him puffed up some."	"I guess that's got him puffed up some."	true	578.57	581.17	25.526297
8887_281472_000049_000000	Apparently not at all discomposed by these remarks, Hooker continued steadily about his business, and presently, rousing a shout of surprise, he succeeded in fanning the captain of the nine.	Apparently not at all discomposed by these remarks, Hooker continued steadily about his business, and presently, rousing a shout of surprise, he succeeded in fanning the captain of the nine.	true	582.02	594.07	21.22613
8887_281472_000049_000001	Roger stepped back from the plate, after striking out, and stood there gazing at Roy, with one of his strange, rare smiles.	Roger stepped back from the plate, after striking out, and stood there gazing at Roy, with one of his strange, rare smiles.	true	594.62	602.71	21.616957
8887_281472_000050_000000	Crane followed.	Crane followed.	true	603.26	604.72	22.542414
8887_281472_000050_000001	"Dinged if I wouldn't like ter see him fan me!" he said.	"Dinged if I wouldn't like ter see him fan me!" he said.	false	604.76	608.65	25.262665
8887_281472_000051_000000	A moment later Hooker pulled him handsomely on a wide one, and the first strike was called, Cooper being again awakened to a wondering, whooping state of merriment.	A moment later Hooker pulled him handsomely on a wide one, and the first strike was called, Cooper being again awakened to a wondering, whooping state of merriment.	true	609.44	619.03	21.362404
8887_281472_000052_000000	"Look out! look out!" shouted the little fellow.	"Look out! look out!" shouted the little fellow.	true	619.64	622.99	25.786774
8887_281472_000052_000001	"He'll get you if you don't.	"He'll get you if you don't.	true	623.21	624.94	29.141495
8887_281472_000052_000002	Who said Hooky couldn't pitch?	Who said Hooky couldn't pitch?	true	625.25	627.24	30.173603
8887_281472_000052_000003	There's more pitch in him than you can find in a big chew of spruce gum."	There's more pitch in him than you can find in a big chew of spruce gum."	true	627.24	631.12	23.073868
8887_281472_000053_000000	Crane, setting his teeth, made two fouls, and then sent Chipper into real convulsions by whiffing at a high one which Roy whistled across his shoulders with surprising accuracy.	Crane, setting his teeth, made two fouls, and then sent Chipper into real convulsions by whiffing at a high one which Roy whistled across his shoulders with surprising accuracy.	true	631.88	643.69	21.017406
8887_281472_000054_000000	"You wanted to see it," yelled Cooper.	"You wanted to see it," yelled Cooper.	true	644.3	646.96	31.637716
8887_281472_000054_000001	"You got a look, all right. Oh, say!	"You got a look, all right. Oh, say!	true	647.21	650.29	25.420973
8887_281472_000054_000002	Where did this new Christy Mathewson come from, anyhow?	Where did this new Christy Mathewson come from, anyhow?	true	650.33	653.68	20.291069
8887_281472_000054_000003	Look out for him, Roddy, or he'll add you to his list.	Look out for him, Roddy, or he'll add you to his list.	true	653.69	657.1	21.467678
8887_281472_000054_000004	List' to my warning."	List' to my warning."	true	657.35	658.96	20.646252
8887_281472_000055_000000	Rodney Grant did not strike out, but, nevertheless, he failed to meet one of Hooker's shoots squarely, and the grammar school shortstop gathered in an easy grounder and threw to first for the third put-out.	Rodney Grant did not strike out, but, nevertheless, he failed to meet one of Hooker's shoots squarely, and the grammar school shortstop gathered in an easy grounder and threw to first for the third put out.	true	660.32	672.64	22.328325
8887_281472_000056_000000	Roger Eliot lingered to speak a word to Hooker, and Springer, still unnoticed, plainly heard what he said.	Roger Eliot lingered to speak a word to Hooker, and Springer, still unnoticed, plainly heard what he said.	true	673.34	680.41	22.268078
8887_281472_000057_000000	"Perhaps we've made a mistake in sizing you up, Roy, old fellow.	"Perhaps we've made a mistake in sizing you up, Roy, old fellow.	true	681.08	685.21	23.803314
8887_281472_000057_000001	It's your work alone that has prevented us from scoring in either of these innings.	It's your work alone that has prevented us from scoring in either of these innings.	true	685.37	689.74	22
8887_281472_000057_000002	You've always had speed and curves, but now you seem able to get the pill over.	You've always had speed and curves, but now you seem able to get the pill over.	true	689.87	695.08	22.894281
8887_281472_000057_000003	Keep it up, old fellow, and you'll make a pitcher yet, We may need you before the season ends."	Keep it up, old fellow, and you'll make a pitcher yet, We may need you before the season ends."	false	695.36	709.59	19.093786
